session_id,customer_id,start_dttm,finish_dttm,device_name
1,4374148,"08.01.20 3:37","09.01.20 6:29",iOS
2,1587527,19.02.23 16:45,20.02.23 18:16,Windows
3,7864358,25.01.20 10:36,26.01.20 22:32,iOS
4,6520695,28.04.23 9:17,29.04.23 18:40,iOS
5,9700458,16.03.23 8:11,16.03.23 13:40,Ubuntu
6,1825752,"06.02.23 15:27","07.02.23 9:22",Ubuntu
7,2546847,"07.11.21 3:18","07.11.21 5:10",Windows
8,1928249,11.10.20 22:25,12.10.20 5:23,Android
9,1746162,21.06.20 13:09,22.06.20 17:40,Windows
10,8929248,"03.05.20 0:07","03.05.20 6:39",Android
11,8628476,"09.12.20 23:26",11.12.20 0:52,Ubuntu
12,2498535,30.12.20 18:16,31.12.20 11:05,Android
13,2733795,12.07.22 20:55,13.07.22 9:26,Ubuntu
14,983084,20.02.23 5:41,21.02.23 6:40,MacOS
15,327660,25.02.21 16:20,25.02.21 19:39,iOS
16,1484345,23.02.21 12:30,24.02.21 8:07,iOS
17,9700458,16.03.23 10:36,17.03.23 17:30,Windows
18,9685194,"06.02.22 20:56","07.02.22 11:20",MacOS
19,6520695,28.04.23 16:48,29.04.23 6:57,iOS
20,9858259,"08.05.21 4:06","09.05.21 9:02",Windows
21,7637780,15.03.21 17:26,16.03.21 14:08,iOS
22,3656851,"07.05.20 21:47","09.05.20 0:49",Android
23,8860090,"02.11.22 16:26","02.11.22 22:00",iOS
24,8940788,22.07.20 2:22,22.07.20 17:07,Android
25,5199655,19.03.20 22:50,21.03.20 9:49,Windows
26,9399964,"07.09.21 21:33","08.09.21 3:45",MacOS
27,1827107,23.01.22 3:04,23.01.22 23:02,Windows
28,7141004,31.01.20 0:24,"01.02.20 0:10",Android
29,4906435,20.12.21 0:04,20.12.21 22:12,Ubuntu
30,8112662,"08.07.22 16:28","09.07.22 12:08",Windows
31,4812339,24.10.22 8:57,25.10.22 2:12,Android
32,9603222,12.10.21 16:46,13.10.21 18:07,iOS
33,8264228,"08.03.22 5:42","08.03.22 22:25",iOS
34,950760,15.08.22 16:59,16.08.22 21:10,iOS
35,3210571,"03.07.22 16:36","05.07.22 0:26",Android
36,3744940,19.04.22 20:28,20.04.22 17:16,Ubuntu
