order_id,customer_id,order_dt,payment_method
99983,4951223,"07.12.2021",offline
99969,1806908,29.07.2022,offline
99868,2576384,27.09.2021,online
99757,816871,"02.04.2021",offline
99710,7864358,"26.01.2020",online
99708,3656851,"08.05.2020",offline
99683,3699199,14.12.2021,online
99662,8376874,14.10.2022,online
99592,8190145,28.03.2021,online
99574,3453181,12.09.2021,online
99506,3163123,16.12.2022,offline
99487,5893207,12.08.2021,online
99465,269301,"03.07.2020",online
99381,9525027,22.10.2022,online
99353,8788924,"02.12.2020",offline
99348,1338867,"05.07.2021",online
99315,1291926,"30.09.2020",offline
99311,1436524,10.09.2022,online
99305,9589575,22.04.2023,online
99266,4630878,"24.04.2020",offline
99217,3163123,24.10.2022,offline
99205,9685194,"07.02.2022",online
99203,6286907,17.04.2023,online
99177,3847672,"09.02.2021",offline
99166,6109375,30.10.2022,offline
99158,9871721,10.02.2022,offline
99102,972383,"11.01.2020",online
99062,4963142,"02.10.2022",online
99043,258432,"20.05.2020",online
99003,4259101,"29.03.2020",offline
98969,6520695,29.04.2023,online
98962,288916,15.02.2021,offline
98929,1278173,"06.04.2023",offline
98885,9399964,"08.09.2021",online
98852,3164033,"07.08.2020",online
98832,3730827,"05.10.2022",offline
98727,9565866,"09.11.2020",offline
98703,3205971,"18.11.2020",online
98652,9851599,24.03.2023,offline
98617,2912609,"12.05.2020",online
98602,1469502,14.02.2023,offline
98562,1860821,11.10.2021,offline
98555,6145504,24.12.2021,offline
98536,1338867,31.10.2021,offline
98525,1086528,19.10.2022,online
98430,2181414,"07.06.2021",online
98394,3164033,30.04.2021,offline
98382,9841596,21.04.2021,online
98354,9168167,"09.07.2021",online
98299,3286151,"01.01.2022",offline
98200,9156396,12.08.2022,offline
98162,5511796,"22.12.2020",offline
98144,3344608,18.02.2021,offline
98138,9983236,29.08.2022,offline
98133,1825752,"07.02.2023",offline
98129,4147806,29.10.2021,online
98106,4645602,"04.06.2021",offline
98105,5511796,"24.09.2020",online
98096,8294970,12.04.2021,online
98075,4631776,"03.02.2023",online
98074,8552253,"05.06.2021",online
98060,123,"13.10.2020",online
97944,3896175,15.07.2021,offline
97899,4683435,17.05.2022,online
97860,3699199,"03.09.2021",offline
97838,8175869,10.03.2021,offline
97791,8283210,"14.10.2020",offline
97789,4036724,19.06.2021,online
97767,91618,"17.11.2020",online
97756,8157735,16.04.2023,offline
97683,3973617,16.08.2022,offline
97674,3896175,"01.09.2022",online
97673,2437302,20.01.2023,offline
97639,7760533,28.07.2021,offline
97634,4036724,23.09.2021,online
97497,2841676,25.02.2023,online
97368,4564013,14.04.2021,online
97326,1097897,"04.06.2022",offline
97287,3699199,19.03.2021,online
97243,449278,"02.12.2022",offline
97218,3320234,"19.12.2020",online
97187,8552253,"08.07.2020",offline
97102,9622792,23.09.2021,offline
97099,8494844,17.09.2022,online
97076,4534342,"11.02.2020",offline
97035,9168167,"29.01.2020",online
96999,7803392,"25.01.2020",offline
96991,553536,"03.08.2021",online
96916,8317488,21.09.2021,offline
96909,4947863,"04.07.2021",online
96899,7528079,17.08.2022,offline
96865,1436524,31.10.2022,online
96810,1034078,26.04.2022,offline
96772,1917173,27.02.2023,offline
96738,8513493,28.06.2022,offline
96710,9859117,"31.12.2020",online
96664,816871,"02.03.2022",online
96652,5355222,28.01.2022,online
96644,1788676,24.12.2021,offline
96618,8628476,"10.12.2020",offline
96553,9841663,"28.07.2020",online
96541,6109375,13.01.2022,offline
96537,8475573,21.09.2021,online
96442,3223560,"02.02.2022",offline
96390,7586335,27.11.2021,offline
96348,9000964,"05.09.2020",offline
96343,3656857,"21.04.2020",online
96338,4808420,"20.04.2020",online
96319,5126609,"25.07.2020",online
96245,9851599,13.04.2021,offline
96223,2215761,"13.02.2020",offline
96188,4557282,14.04.2021,offline
96140,7830975,15.03.2023,offline
96053,7381334,12.04.2023,offline
96027,1125364,15.07.2022,online
96026,1908237,17.06.2022,online
95903,8283210,24.05.2022,offline
95832,6239636,18.04.2022,online
95824,8788924,26.02.2021,online
95817,1759350,"06.06.2020",online
95779,4498799,"06.06.2020",offline
95765,9841663,22.06.2022,offline
95732,4557282,27.03.2023,offline
95704,4997613,"11.07.2020",offline
95680,8317488,"07.09.2020",online
95596,6550808,17.10.2021,offline
95544,3163123,19.09.2022,online
95502,3892795,23.08.2022,offline
95455,7397121,"07.04.2023",online
95450,4565766,28.09.2022,offline
95420,4834931,20.01.2021,online
95246,950760,16.08.2022,online
95229,6583379,"09.10.2022",online
95227,7486474,21.04.2023,offline
95210,4565766,"01.01.2022",offline
95175,4296424,30.08.2021,offline
95118,1788676,"07.11.2021",online
95050,4687080,"08.05.2021",online
95036,436078,27.09.2022,offline
95024,3847672,14.03.2023,offline
95006,8940788,"23.07.2020",offline
94985,2576384,"05.08.2020",offline
94958,3205971,24.07.2021,online
94925,8494844,12.04.2022,offline
94882,818921,"08.02.2021",offline
94871,8701726,21.07.2021,offline
94819,7349502,22.03.2023,offline
94810,2649465,15.06.2022,online
94797,3223560,"13.07.2020",offline
94753,45933,17.12.2022,offline
94733,9671215,"24.04.2020",offline
94652,8131696,27.07.2022,offline
94617,8987261,23.04.2023,offline
94608,3508936,14.06.2022,offline
94569,2498535,"31.12.2020",online
94562,5852935,"06.06.2022",online
94527,1233520,24.07.2022,online
94467,5287635,"05.02.2022",online
94398,4617094,13.09.2021,offline
94391,2140545,"09.09.2020",online
94358,2962652,31.10.2021,offline
94300,2576384,"16.12.2020",online
94297,4348302,31.07.2021,offline
94291,4631776,"07.10.2022",online
94158,2215761,"16.12.2020",online
94065,7381334,"19.04.2020",offline
94043,1757142,26.03.2021,offline
94009,8788924,"04.05.2021",offline
93977,1083562,11.06.2021,online
93884,4161982,12.02.2022,offline
93877,9983236,"06.10.2022",offline
93862,3320234,15.04.2021,online
93839,6680512,"04.12.2021",offline
93813,3163123,24.07.2022,online
93766,1436524,17.07.2021,online
93753,7760533,"03.07.2021",online
93727,3344608,24.03.2023,offline
93699,4348302,22.12.2021,offline
93688,4036724,"12.07.2020",online
93632,3348290,28.04.2022,online
93611,517697,"29.10.2020",online
93587,6139190,29.10.2021,online
93582,7382995,"04.08.2020",offline
93581,4536683,30.05.2022,offline
93534,1939578,"02.08.2020",offline
93498,8919009,"09.08.2020",online
93337,6888217,"06.05.2022",offline
93330,7830975,10.05.2021,offline
93308,6520695,"16.07.2020",online
93213,4954842,28.02.2021,offline
93207,5122784,31.05.2022,offline
93109,4398096,"08.12.2020",offline
93107,2456567,"05.11.2020",offline
93090,3439255,29.06.2021,online
93048,6075539,19.11.2022,offline
93034,9156396,"01.08.2020",offline
92975,2181414,"05.09.2020",online
92937,6971132,"06.01.2021",offline
92897,9090105,29.04.2021,online
92893,7964933,28.04.2021,offline
92885,9000964,19.10.2022,offline
92877,9963256,"03.11.2020",online
92872,7431664,21.08.2022,online
92836,2627693,16.09.2021,online
92720,4641043,"22.03.2020",online
92688,9841663,"03.05.2022",offline
92687,8175869,26.07.2022,offline
92635,6276862,"04.11.2021",online
92593,6173911,25.04.2021,online
92538,1291926,"03.01.2023",offline
92533,8628476,13.05.2022,online
92505,8731299,10.06.2022,offline
92444,5875923,27.03.2022,offline
92384,9700458,17.03.2023,offline
92380,7751030,21.05.2022,offline
92338,9941395,15.01.2021,online
92337,7528079,"03.12.2021",offline
92255,3318448,23.06.2021,online
92213,7146160,22.05.2021,offline
92211,9983236,"01.03.2022",offline
92160,9849164,27.05.2021,online
92146,7000636,15.11.2022,online
92081,8211030,12.02.2023,online
91967,6583379,29.10.2022,offline
91950,4808420,20.03.2021,online
91916,3363037,"28.12.2020",offline
91834,5893207,16.10.2022,online
91833,7130090,28.06.2022,offline
91829,2893413,"06.04.2020",online
91735,3348290,"03.07.2020",online
91719,1083562,"03.04.2023",online
91646,8940788,"01.07.2022",offline
91605,7146160,"04.09.2022",online
91580,4348302,"26.09.2020",online
91530,5122784,30.06.2022,online
91506,9941395,"17.08.2020",offline
91419,1334341,13.03.2022,offline
91401,4104890,"08.03.2022",online
91333,6235073,"18.12.2020",online
91297,5533413,17.07.2021,offline
91283,7946810,28.01.2022,online
91226,1825752,"18.11.2020",online
91221,3847672,25.05.2022,offline
91211,818921,30.03.2021,offline
91210,7776169,20.12.2022,online
91189,2250569,"01.01.2023",offline
91131,9767097,24.10.2022,offline
91057,7803392,20.12.2021,offline
91024,8790076,"06.03.2023",online
90996,8912688,14.04.2022,online
90987,4947863,"07.07.2021",online
90926,1928249,"12.10.2020",online
90836,3390627,15.06.2021,offline
90771,4954842,"04.06.2020",offline
90749,6971132,22.05.2021,offline
90700,5684078,"08.11.2021",offline
90634,7486474,"18.10.2020",online
90569,9266330,"03.07.2022",offline
90548,8475573,"09.05.2021",online
90310,258432,27.02.2023,offline
90309,7013402,"22.06.2020",online
90307,9622792,30.08.2022,offline
90298,1469502,30.07.2022,offline
90260,6615705,23.06.2021,offline
90258,6370195,"15.01.2020",online
90229,2841676,19.05.2022,offline
90226,2893413,"07.04.2023",online
90219,9022356,"04.02.2023",online
90193,436078,15.09.2021,offline
90148,449278,20.06.2021,offline
90079,3286151,20.06.2021,offline
90068,6071307,"09.02.2022",online
90050,7486474,25.11.2022,online
90037,7141004,"01.02.2020",offline
90013,8494844,14.11.2022,online
89986,3423229,24.04.2022,online
89980,4773017,27.03.2023,offline
89978,4438991,"02.02.2021",offline
89880,9863167,"14.10.2020",offline
89830,5277103,"03.05.2020",online
89779,4374148,"09.01.2020",online
89719,4775564,17.06.2022,online
89694,3237649,31.01.2021,offline
89680,4909710,"08.01.2020",offline
89626,7751030,19.05.2022,offline
89484,4631776,"27.12.2020",online
89448,1827107,24.01.2022,online
89443,1768745,"10.08.2020",offline
89441,3656851,"16.05.2020",offline
89428,7637780,16.03.2021,online
89399,113347,22.01.2023,offline
89374,5635923,25.07.2022,offline
89307,8172912,28.08.2022,offline
89285,4631776,"06.08.2020",online
89258,5178045,"02.05.2021",online
89182,9058381,"02.05.2020",online
89146,9525027,"04.12.2020",online
89138,6408200,"09.01.2022",online
89124,8016267,20.02.2023,offline
89120,3187735,"07.04.2021",online
89031,1388281,24.03.2021,online
89030,2893413,"26.05.2020",offline
89014,2080808,"24.01.2020",offline
89009,9949746,"14.01.2020",online
88938,6177237,16.02.2022,online
88926,9622792,"07.05.2021",offline
88918,7830975,"20.05.2020",offline
88849,563853,"11.07.2020",offline
88833,5202940,15.02.2023,online
